date,season,venue,team1,team2,toss_winner,toss_decision,bat_first_team,winner
2024-03-03,2023/24,"National Stadium, Karachi",Multan Sultans,Karachi Kings,Multan Sultans,bat,Multan Sultans,Multan Sultans
2024-03-04,2023/24,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Islamabad United
2024-03-05,2023/24,Rawalpindi Cricket Stadium,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi
2024-03-06,2023/24,Rawalpindi Cricket Stadium,Quetta Gladiators,Karachi Kings,Karachi Kings,field,Quetta Gladiators,Karachi Kings
2024-03-06,2023/24,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Lahore Qalandars
2024-03-07,2023/24,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United
2024-03-08,2023/24,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Peshawar Zalmi
2024-03-09,2023/24,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings,Karachi Kings,field,Lahore Qalandars,Karachi Kings
2024-03-10,2023/24,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United,Islamabad United,field,Multan Sultans,Islamabad United
2024-03-10,2023/24,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,bat,Lahore Qalandars,Quetta Gladiators
2024-03-11,2023/24,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi
2024-03-12,2023/24,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Multan Sultans
2024-03-14,2023/24,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,bat,Peshawar Zalmi,Multan Sultans
